439000,4,3,2509
490000,3,2,2244
360000,3,1.5,1271
950000,5,3,4667
300000,4,2.5,2362
344900,5,2.5,2543
289000,3,2,1579
300000,3,2.5,2367
279900,5,3.5,2852
389000,3,2.5,1889
365000,3,2.5,2619
220000,3,2,1390
449000,2,1,1216
300000,5,3.5,2687
300000,3,2,1703
239900,4,2.5,1968
310000,3,2.5,2061
275900,3,2,1525
284000,3,2.5,2177
275000,3,2,1838
285900,4,2,1794
277500,4,2.5,1990
350000,3,2,1855
337000,3,2,2389
259000,3,2,1617
303900,4,2.5,2205
253000,4,3,2239
254900,4,2,1953
270000,3,2,2144
315000,3,2,1976
235000,2,2.5,1226
275000,3,2,1951
225000,3,2.5,1633
275000,4,2,2002
225000,3,2,1668
240000,3,2,1444
235000,3,2,1702
225000,3,2,1420
252000,3,2,1229
250000,3,2,1375
290900,3,2.5,1414
313967,4,2,1977
759900,5,4.5,4753
695000,3,3.5,3089
877000,4,4.5,3656
530000,3,2.5,2784
560500,4,3.5,3507
484500,4,3.5,3636
425000,3,2.5,2560
405000,5,3.5,3081
299000,5,3,2856
475000,3,4.5,3333
220000,4,2.5,2056
407100,4,2.5,3278
299990,4,2.5,2984
224969,3,2.5,1964
399000,4,3,2664
269000,3,3.5,2250
315000,3,2,1456
274900,3,2,2091
224000,3,2.5,1392
235000,4,2,1751
329000,3,2,1494
274900,3,2.5,2091
304342,3,2,1606
269000,3,2.5,2042
295000,4,2.5,2161
335000,3,3.5,1941
245000,3,2.5,2122
284900,3,2,2132
250000,2,2,1021
351152,3,2,1850
239999,4,2.5,1986
265000,4,2,2225
364500,4,2,2679
270000,3,2,1584
284900,3,2.5,2297
221000,3,2,1540
245000,3,3,2016
225000,3,2,1700
259975,3,2,1350
236400,4,2.5,1884
263000,3,2,1541
298582,3,2,1975
799500,3,2.5,3422
550000,3,3,2589
399000,3,2.5,2288
274900,5,3,3031
549900,4,3.5,3464
249000,4,3.5,2675
405000,3,2.5,2321
325000,4,2.5,2704
265000,2,3.5,2250
322750,5,3.5,2639
275000,4,2.5,2937
260000,3,2.5,2623
234900,3,2.5,2802
275000,3,2,1428
364999,4,2,2303
320000,3,2,2357
249999,3,2.5,2390
300000,4,2.5,2862
300000,3,2.5,2105
315000,4,2,2586
245000,3,2,1428
235000,3,2,1107
264900,4,2.5,2442
339900,3,2,2086
246000,4,2.5,2571
234900,3,2,1424
249900,3,2.5,2396
285000,4,2.5,2634
289000,4,3,2722
285000,3,2,1859
265000,4,2.5,2278
315000,4,2.5,2378
279900,4,2.5,2036
275000,3,2.5,2143
235000,4,2.5,1869
294900,4,3,1899
230000,3,2.5,1802
264000,4,2.5,2254
300000,5,3.5,2678
265000,3,2,1601
279000,3,2,1665
220000,3,2,1559
429900,3,2.5,2523
598000,3,2.5,2473
432000,4,3.5,3295
599995,5,3.5,4168
548999,4,3,3213
499900,5,4,3731
475000,4,3.5,3880
599000,3,2,2273
329000,6,3,3109
449000,3,2,2800
350000,3,2,2233
395000,4,3.5,2750
450000,4,3,2919
475000,3,2,2264
289900,4,3.5,2654
459900,4,3.5,3323
430000,1,1.5,1234
342000,3,2.5,2117
389900,4,2.5,2424
349900,4,3,2900
270000,4,2.5,2226
400000,3,2,2150
249900,4,2.5,1964
364900,4,3,2659
242500,3,2,2037
249500,4,2,2204
260000,3,2,1796
255000,3,2,1584
350000,3,2,2178
252500,4,2.5,2325
315000,3,2.5,1796
315000,4,3,2409
275000,3,2,1903
265000,3,2.5,1813
225000,3,2,1523
469000,4,3,2625
279000,3,2,1369
500715,3,3,2442
249000,3,2,1596
299999,3,2.5,1600
615000,4,3.5,2173
220000,3,2,1250
550000,5,3,1940
650000,5,3.5,3712
350000,5,4.5,3248
450000,4,3.5,3208
394900,3,2,2461
537000,4,3.5,2637
385000,4,2,2540
468000,5,2.5,3002
295000,4,2.5,2577
425000,4,3.5,3005
315000,5,3.5,2780
358000,2,2,2110
259900,3,2.5,2113
305000,4,2.5,2701
285000,4,2.5,2576
319000,4,2.5,2400
265000,4,2.5,2344
329900,3,2,1944
264900,3,2.5,2129
250000,3,2,1372
315000,3,2,2005
350000,3,3,2110
224900,3,2,1592
310000,3,2.5,2059
265000,4,2.5,2496
230000,3,2,1883
247900,3,2.5,1778
269900,3,2,1608
269900,3,2.5,1793
220000,3,2,1237
305000,3,2.5,1690
242000,2,2,1496
270000,3,2,1579
270000,3,2,1764
225000,5,2.5,1949
425000,4,2,1764
424300,4,2.5,2843
459000,3,3.5,2041
264000,3,2,1275
225000,3,2,1455
225000,3,2,1297
375000,4,2,1600
